title,post_age,post_gen,count_age,count_gen,relationship,score,num_commentsI [M32] am about to be left by my girlfriend [F27] of 10 years with 2 children,32,M,27,F,girlfriend,18,8
Sister(27F) wants to switch rooms with me(23F). Not sure if I'm being selfish...,23,F,27,F,sister,1,9
I [27 M] and my ex [24 F] say we love each other but life has been a mess no short-description does justice,27,M,24,F,,1,2
Has my (F 26) husband (M 37) been gaslighting me?,26,F,37,M,husband,234,104
I (21) am worried that I have become codependent with my (20) girlfriend of over 1 year and am unsure how to go about fixing this,21,,20,F,girlfriend,2,1
I [19m] slept with a woman [27f] significantly older than me and now im trying to leave.,19,M,27,F,,0,5
Me [30M] with my GF [27F] of 1 year. We have a really solid relationship... Except I'm not crazy in love with her.,30,M,27,F,gf,6,5
I [24F] am scared that an ex FWB [27M] isn't going to leave me alone,24,F,27,M,,2,1
Me (24) and GF (24) - She has issues with affection/attraction,24,,24,F,gf,1,1
How to ask my roommate [26] to stop spending so much time with my [29] dog?,29,,26,,roommate,1,0
I [20 M] am nervous about my girlfriend [21 F] of 5 months buying drugs and hanging out with the dealer. Feeling uncomfortable with her past.,20,M,21,F,girlfriend,0,32
I (24F) am having a hard time initiating sex with my BF (25M) of 1.5 years,24,F,25,M,bf,1,1
What are some tips so that I [32 M] can help handle my girlfriend of 2 years [32 F] finances while avoiding coming across as a controlling jerk,32,M,32,F,so,216,66
My (41f) partner (41m) constantly blames me for everything and my life has become a nightmare,41,F,41,M,partner,19,12
I [18 M] have been dating my gf [18 F] for a month and I want to build our personal relationship more rather than our physical relationship,18,M,18,F,gf,0,2
Me (24) with GF (25) - How to deal with lack of attraction,24,,25,F,gf,1,0
[20/F] with [29/M] cares more about his friend [29/F] and her breakup than me grieving over the loss of a loved one.,29,M,29,F,friend,94,37
I (30F) am pretty sure I freaked out this guy (30M) I've been dating for 3 months with a fantasy I spoke of,30,F,30,M,guy,1,1
Worried that my (25F) insecurities are affecting my relationship with my boyfriend (30M),25,F,30,M,boyfriend,1,1
Me [33/F] with my [54/M] 2 months. Help I could rip my heart out if it were possible.,33,F,54,M,,1,1
My [24/F] boyfriend [28/M] of 5 months isn't vocal enough.,24,F,28,M,boyfriend,0,6
Me [34 M/F] with the mother of my child [34F] and girlfriend of 7 years. Is it time to call it quits?,34,M,34,F,mother,1,1
I (48M) was on the phone with my dad (72) today and he accidentally didn't hang up and I heard him say something that has me more upset than I've ever been in my life.,48,M,72,M,dad,1,6
My [23M] girlfriend of 6 months [23F] is worried that we will gradually become 'just friends',23,M,23,F,girlfriend,1,1
Me [33/F] with my [54/M] 2 months. Help I could rip my heart out if it were possible.,33,F,54,M,,1,0
My pregnant wife [29F] doesn't acknowledge my [29M] presence after the birth of our baby and seems to think she will have to do all the work.,29,M,29,F,wife,1,2
Me [23F] with my Girlfriend [21F] 4months are in disagreement on living partly together.,23,F,21,F,girlfriend,1,2
Me [34 M/F] with the mother of my child [34F] and girlfriend of 7 years. Is it time to call it quits?,34,M,34,F,mother,2,2
I (22F) am feeling so confused about my relationship with my SO (21M),22,F,21,M,so,8,15
UPDATE: Me [29F] with my husband [39M] married 4.5 yrs 2 small children. He is cheating on me with other men.,29,F,39,M,husband,1,1
Boyfriend [21M] refuses to give me [19F] head,19,F,21,M,boyfriend,1,1
Me [48 F] with my [60 M] 6 year relationship ending,48,F,60,M,,1,1
Me [26 M] with my love interest [26F] of a month and some change. I bought her a gift I saw on her Twitter feed 6 months ago would this push her away?,26,M,26,F,,5,5
Every time my fiance (27M) of 4.5 years is upset he becomes really cold and critical towards me (26F). Should I move out with him?,26,F,27,M,fiance,1,0
I [18 M] have a bad crush on my friend [18 F] since 1 year,18,M,18,F,friend,1,0
Me [20M] and my girlfriend [22F] have been together for two months I want to break up but feel way too guilty,20,M,22,F,girlfriend,2,4
How to ask my roommate [26] to stop spending so much time with my [29] dog?,29,,26,,roommate,78,52
My [34 F] mom [60 F] hates my haircut and keeps putting me down. Help.,34,F,60,F,mom,9,7
What does he (22m) mean when he says this to me (21f),21,F,22,M,,1,5
Me [33/F] with my [54/M] 2 months. Help I could rip my heart out if it were possible.,33,F,54,M,,1,0
Me [26 F] with my husband [33 M] of two years very upset with an outfit I wore.,26,F,33,M,husband,180,54
Me [21 M] with my gf [21F] - her parents are Jehovah's witnesses and her family keeps shoving religion down our throats. Gf is not religious.,21,M,21,F,gf,1,5
I [24M] dated someone [28F] for a few weeks and mistakes were made the condom failed and she said she was pregnant before ghosting me.,24,M,28,F,,1,0
My[19F] boyfriend [30M] can't say he loves me,19,F,30,M,boyfriend,1,7
Every time my fiance (27M) of 4.5 years is upset he becomes really cold and critical towards me (26F). Should I move out with him?,26,F,27,M,fiance,2,9
Me [27F] with my friends [26-28F] known for 3 years feel deserted during the lowest point in my life,27,F,26,F,,1,7
Four months ago I [24M] hooked up with a friend [28F] who's said she's pregnant is currently ghosting me because she thinks I'm evil and I might be a father by New Years Eve,24,M,28,F,friend,1,0
Me [25M] with my sister in law [28F] she makes me feel uncomfortable.,25,M,28,F,sister,1786,129
Me [mid 20s M] with my Tinder date [mid 20s F] hooked up once and claims she is pregnant and is going to ruin my life,20,M,20,M,,1,5
I'm (29M) tempted by someone who isn't my GF (27F),29,M,27,F,gf,1,1
Me [00 M/F] with my ___ [00 M/F] duration short-description,00,M,00,M,,1,0
Is he [24/M] actually interested in hanging out with me [25/f] or not?,25,F,24,M,,1,1
I[M/17] am feeling weird with my girlfriend[F/16],17,M,16,F,girlfriend,1,9
Dealing with Mental Breakdowns from Mother(39F) I'm (19M),19,M,39,F,mother,1,1
I [23F] have been wanting a tattoo and my parter [26M] is against it.,23,F,26,M,,1,1
My [25f] boyfriend [25m] is a recovering addict. He goes to 12 step meetings a lot and I'm feeling left out.,25,F,25,M,boyfriend,2,18
Uncle dying (m60ish) need advice on last words (f29),60,M,29,F,,2,6
Me [21 F] with my bf [20M] of 7 months we broke up after a rocky relationship but now I feel like I was the bad person,21,F,20,M,bf,1,0
Me [30F] with my mum [64F] told me she hates me.,30,F,64,F,mum,5,4
I [25 M] met someone awesome [25/f] things seem to being going well why am I freaking out?,25,M,25,F,,2,3
My husband [40M] got frustrated at me [30F] for not knowing where his book was in the house and it led to an argument.,30,F,40,M,husband,46,41
I [23F] have been wanting a tattoo but my fiancé [26M] is against it?,23,F,26,M,fiancé,2,18
I (24) found a mens jacket in my laundry that doesn't belong to me the only person having access to is my girlfriend (25),24,,25,F,girlfriend,1,1
Me [27M] my wife's aunt [40s] keeps hitting on me,27,M,40,F,aunt,1,1
I (24) found a men's jacket that doesn't belong to me in my laundry. My girlfriend (25) of a year is the only one with access to it,24,,25,F,girlfriend,1,1
My fiancé [24M] and I [22F] have realized today that resentment has taken over the relationship.,22,F,24,M,fiancé,1,10
I'm (23/F) beginning to resent my relationship with my boyfriend (25/M).,23,F,25,M,boyfriend,30,13
I [19M] want to help my girlfriend [17F] resolve a family issue but she refuses to discuss the problem and continues to avoid the it. Any advice on how to help?,19,M,17,F,girlfriend,1,1
My lady friend [36F] of 3 months needs time to herself instead of committing to me [41M].,41,M,36,F,friend,1,1
My best friend (30f) met her new fiance (30s m) in a support group for cancer patients but she is faking her illness and has a long history of faking cancer on and off,30,M,30,F,friend,2,4
Every time my boyfriend (25M) and I (25F) (6 months) hit a relationship milestone I self-sabotage. How can I stop being an emotional cutter?,25,F,25,M,boyfriend,5,4
I [30F] want to tell my family about my husband's [30M] and my open relationship. He thinks it'll end horribly I disagree.,30,F,30,M,,3,23
My [25/m] sister [29/f] gives me everything I need but I haven't seen her in years and I won't ever see her again,25,M,29,F,sister,2,10
I [19M] want to help my girlfriend [17M] who is going through a fight with her dad's girlfriend but won't discuss the problem. Any advice on how I can help?,19,M,17,F,girlfriend,1,4
My (36M) husband is constantly interrupting me (31F) when I'm doing something,31,F,36,M,husband,1,1
I [20M] am intimidated by the age gap with a [26F] woman that asked me out.,20,M,26,F,,4,7
Me [29 M] with my ex [22 M/F] of 9 months only the 2d gf I've ever had. Plot Twist: I was the toxic person in the relationship,29,M,22,F,gf,1,5
This guy [21 M] got my [21 F] number and text me for a while then stopped. Why the loss of interest?,21,F,21,M,guy,1,4
I [20F] am forced to live with my abusive mother [41F] for the next few months. All I want is to be successful in life.,20,F,41,F,mother,1,1
My(19/F) mom(45/F) keeps testing me. Please help.,19,F,45,F,mom,3,3
Me [20 M] with my GF [20 f] 1.5 years I just broke up with her and now I am extremely depressed,20,M,20,F,gf,1,2
My husband (30m)cheated on me(29f) with his ex a month before we got married. He may have a child with her. He's still talking to her.,29,F,30,M,husband,1,1
I[20M] am have trouble lasting with my new gf [20F],20,M,20,F,gf,1,1
I [20F] am stuck living with my abusive mother [41F] for the next few months. Feel like I'm drowning but I can't lose faith.,20,F,41,F,mother,25,1
Me [28 F] with the guy I'm hooking up with [29 M/F] for 2 years and thinking of telling his wife,28,F,29,M,guy,0,44
how do i [25f] not lose my mind wanting to be with my crush [20m],25,F,20,M,crush,0,1
Me [21 F] with my boyfriend [27 M] dating for 7 months he didn't tell me she was his ex.,21,F,27,M,boyfriend,1,1
My [21M] girlfriend [20F] is playing a game of hot and cold and it's driving me into depression.,21,M,20,F,girlfriend,3,6
I [20M] am having trouble lasting with my new girlfriend [20F],20,M,20,F,girlfriend,1,7
I [24/f] want to ask my old tutor [22/m] out but I'm terrified of rejection,24,F,22,M,,51,31
My bf (20M) got upset when I (19F) told him I would be going on vacation with my friend's family on his Birthday.,19,F,20,M,bf,2,4
My (36F) boyfriend (44M) wants an open relationship. Although I am willing to do it he's unhappy that I'm not more enthusiastic about it.,36,F,44,M,boyfriend,9,22
Old roommate (24F 1 year roommate) kinda scammed new roommate (24F) options?,24,F,24,F,roommate,3,6
My husband (30m) cheated on me (29f) with his ex before we got married he may have a child with her. I'm so lost....,29,F,30,M,husband,239,79
Me [21 F] with my boyfriend [27 M] dating for 7 months he hanged out with his ex without telling me,21,F,27,M,boyfriend,1,4
Me [22 F] with the guy I'm seeing [21 M] for 2 months. He is texting less and less. Am I overreacting in thinking that he is losing interest?,22,F,21,M,guy,1,3
[Long Post] Me [24M] with my parents [52M][50F]. I don't believe in their religion my father is emotionally abusive and I don't know what to do.,24,M,52,M,father,23,25
Am I (19f) a priority to my boyfriend (20m) of one year?,19,F,20,M,boyfriend,2,5
Me [21M] and my girlfriend [20F] almost one year anniversary but constant arguing. Should we continue ?,21,M,20,F,girlfriend,1,3
Should I(19M) be concerned for my friend(19F) who describes her boyfriend as "the jealous type",19,M,19,F,friend,2,6
My [18m] girlfriend [17f] of 8 months has low self esteem and i don't know how to work through it,18,M,17,F,girlfriend,1,1
Me [20 M] with [18 F] Not Sure Where we Stand,20,M,18,F,,1,1
I [20 M] am beyond frustrated in my relationship [20 F],20,M,20,F,,3,2
I [23 F] am seriously considering leaving my fiancé [23 M] of 7 years.,23,F,23,M,fiancé,1,1
I [19f] am having issues with my behaviors towards my boyfriend [26m],19,F,26,M,boyfriend,1,1
I [21 M] asked if we were dating because I wanted to she [23 F] said yes and now I have cold feet?!,21,M,23,F,,1,2
My [18 M] girlfriend [17 F] of 8 months has low self esteem and idk what to do,18,M,17,F,girlfriend,1,0
I [22F] want to take my boyfriend [25M] on a romantic date. Help!,22,F,25,M,boyfriend,1,4
Me [30F] with potential SO [36M] - don't know where we stand,30,F,36,M,so,2,3
I [23 F] am seriously considering leaving my fiancé [23 M] of 7 years,23,F,23,M,fiancé,1,9
I think my [24/F] fiance [36/M] of a year is unsupportive and excludes me. Am I being unfair?,24,F,36,M,fiance,3,3
I [22M] proposed to my girlfriend [25F]. She's an Aupair in the US until next year. Advice?,22,M,25,F,girlfriend,1,1
Me [22 M] with my girlfriend [21 F] of two years have been having communication troubles; not sure how to fix,22,M,21,F,girlfriend,1,0
I [22M] proposed to my girlfriend [25F]. She's an Aupair in the US until next year. Advice?,22,M,25,F,girlfriend,1,2
My[27f] husband [28m] snaps under pressure,27,F,28,M,husband,1,1
I (24F) feel unimportant to fiancé (22m) [explicit],24,F,22,M,fiancé,1,1
I[26/F] got broken up with by my ex[26/M] about 4 months ago. Now I am terrified of men what is this and how do I stop it?,26,F,26,M,,1,5
My [f17] father [53] won't try to fix our broken relationship when I really want to,17,F,53,M,father,1,1
I [19f] am having issues with my behavior towards my boyfriend [26m],19,F,26,M,boyfriend,1,2
